Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	OPF	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	36804.637	0.0	36804.637	36804.637	24.0	1720.7421	-0.4155743	0.15464191	-0.16345912	-0.7161172	24	-14469.652	403552860.0	2744.7705	-96090050.0	-0.5810616	0.07890708	0.8333333	1.0	7.297564744949341
1	34130.0	0.0	34130.0	34130.0	24.0	1669.193	3304.4707	843.8307	4687.5503	1996.0358	48	-10888.118	243678030.0	458.36035	-180991790.0	-0.5808616	0.19942021	0.6666667	1.0	12.39045763015747
2	35392.395	0.0	35392.395	35392.395	24.0	1692.2877	14532.418	3192.9753	26023.06	10398.496	72	-2913.3835	82408376.0	286.85547	-17495064.0	-0.58066326	0.3264841	0.7083333	1.0	3907.6111857891083
3	37865.426	0.0	37865.426	37865.426	24.0	1736.4259	18463.273	4072.1675	31369.117	12795.468	96	-901.4898	74708344.0	456.7974	-16927660.0	-0.5806583	0.33029345	0.8333333	1.0	3912.4170038700104
4	36976.445	0.0	36976.445	36976.445	24.0	1735.809	17219.92	4323.6504	33361.074	11507.321	120	-1396.854	49439090.0	-168.39307	-16491712.0	-0.5807647	0.09518936	0.875	3.0	3918.3168659210205
5	36171.266	0.0	36171.266	36171.266	24.0	1746.9321	18066.518	6225.7793	37518.656	7962.033	144	-252.01396	46783804.0	-267.1322	-16340274.0	-0.5807411	0.12140739	0.7083333	3.0	3932.9121236801147
6	38654.164	0.0	38654.164	38654.164	24.0	1873.7721	15964.105	6466.663	32188.459	5985.2896	168	-2758.528	58087636.0	-1020.15674	-36238132.0	-0.58125746	-0.19922169	0.875	79.0	3949.458394765854
7	39272.332	0.0	39272.332	39272.332	24.0	1849.2354	21664.025	10063.949	42471.53	4840.729	192	1817.192	27268102.0	-477.08032	-18167860.0	-0.59970444	0.097564615	0.5416667	1.0	3966.299918651581
8	37080.004	0.0	37080.004	37080.004	24.0	1717.4429	28486.07	13426.47	50683.156	6054.0903	216	7097.842	275813020.0	-732.147	-259523740.0	-0.5995236	0.16720772	0.7916667	2.0	3981.9385316371918
9	36384.15	0.0	36384.15	36384.15	24.0	1712.9974	17165.154	9157.894	36735.973	2352.4424	240	-439.8038	13063487.0	-309.79953	-2113121.0	-0.59908974	0.10559189	0.5833333	1.0	3997.124250650406
10	36811.688	0.0	36811.688	36811.688	24.0	1712.1582	17642.451	8906.932	38215.51	4154.987	264	-282.67636	17521256.0	-232.56339	-3640253.0	-0.5988692	0.13296302	0.45833334	1.0	4010.623167991638
11	36416.125	0.0	36416.125	36416.125	24.0	1735.142	15078.1045	8034.2207	34039.465	1768.6909	288	-2139.3923	15454369.0	14.212402	-8629124.0	-0.59864694	0.0817096	0.625	1.0	4023.734349966049
12	37528.465	0.0	37528.465	37528.465	24.0	1749.3877	15776.492	7940.558	35899.844	2551.6738	312	-1989.5424	15418595.0	47.815796	-7731293.5	-0.59836614	0.17834945	0.8333333	2.0	4036.8825237751007
13	33618.523	0.0	33618.523	33618.523	24.0	1686.5228	25097.416	11324.053	43306.145	6417.1006	336	6854.0093	97123840.0	-438.36035	-93967896.0	-0.5980242	0.3539451	0.7083333	1.0	4049.3234539031982
14	34384.168	0.0	34384.168	34384.168	24.0	1709.3802	14351.27	7821.2993	29369.021	1163.8689	360	-1771.6075	11854399.0	100.292114	-5169857.5	-0.59792686	0.124610044	0.5833333	1.0	4060.077918767929
15	38478.145	0.0	38478.145	38478.145	24.0	1849.2793	13478.492	8607.5205	32092.285	1043.454	384	-4092.6633	35165108.0	-782.4475	-29472444.0	-0.5978575	-0.3123225	0.9166667	79.0	4070.8565878868103
16	39173.06	0.0	39173.06	39173.06	24.0	1858.1473	21030.57	11840.974	45587.258	3218.9814	408	1682.4606	12477044.0	-158.03784	-8628320.0	-0.6294967	0.12231794	0.5416667	1.0	4080.08145403862
17	39127.59	0.0	39127.59	39127.59	24.0	1894.8848	16229.866	8345.768	35197.125	4181.526	432	-2350.1619	16331156.0	-157.69409	-10322032.0	-0.62979496	0.0974488	0.5	9.0	4089.469178676605
18	38902.676	0.0	38902.676	38902.676	24.0	1838.711	23137.266	11288.548	39283.68	5184.376	456	3207.948	32186018.0	-579.79297	-23537748.0	-0.6308372	0.20321627	0.75	3.0	4099.487919807434
19	31976.477	0.0	31976.477	31976.477	24.0	1678.3387	19922.357	7341.37	32355.621	4927.264	480	3332.432	34306556.0	-158.93481	-29266974.0	-0.6305966	0.08622829	0.20833333	1.0	4109.445757865906
20	29971.074	0.0	29971.074	29971.074	24.0	1668.4489	16464.682	8243.873	31805.373	4011.2986	504	1508.1283	8672740.0	-244.82898	-7128579.0	-0.6304834	0.15036114	0.33333334	2.0	4119.065361738205
21	32446.135	0.0	32446.135	32446.135	24.0	1696.8412	14100.742	6903.4697	26584.418	1522.5155	528	-1396.5537	6561140.5	-267.6947	-3358971.5	-0.63026017	-0.23654318	0.5	79.0	4129.223613739014
22	33024.598	0.0	33024.598	33024.598	24.0	1694.923	14685.63	6868.6636	27062.162	1843.1885	552	-1090.5997	6166643.5	-309.96265	-3270162.5	-0.6490831	-0.036582757	0.75	79.0	4140.826047897339
23	34123.13	0.0	34123.13	34123.13	24.0	1724.5485	16280.86	8598.924	32617.773	3399.0483	576	-260.78113	3388374.2	-114.03879	-2450162.5	-0.6719764	0.10232172	0.7083333	4.0	4152.325005054474
